estrategia,episodio,pico_avg_c,n_periodos,duracion_min,grave_real,excursion_pequena,pequena_y_breve,alarmo,idx_periodo_alarma,min_desde_cruce,temp_alarma_c,min_antes_del_pico,motivo
B_tiempo_tendencia,E34,-14.828,1,5.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E35,-6.855,9,45.0,True,False,False,True,3.0,15.0,-10.9,10.0,15 min + sigue calentando
B_tiempo_tendencia,E36,-14.234,4,20.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E37,-12.377,4,20.0,False,False,False,False,,,,,observado sin alarma
B_tiempo_tendencia,E38,-10.218,7,35.0,False,False,False,True,3.0,15.0,-10.21771,0.0,15 min + sigue calentando
B_tiempo_tendencia,E39,-14.42,5,25.0,False,True,False,False,,,,,observado sin alarma
B_tiempo_tendencia,E40,-14.689,2,10.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E41,-14.785,1,5.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E42,-4.698,10,50.0,True,False,False,True,3.0,15.0,-10.16458,10.0,15 min + sigue calentando
B_tiempo_tendencia,E43,-8.097,7,35.0,True,False,False,True,3.0,15.0,-8.792708,5.0,15 min + sigue calentando
C_bandas_15_10_5,E01,-9.783,5,25.0,True,False,False,True,2.0,10.0,-9.783334,0.0,"desviacion grave (>+5C), 5 min"
C_bandas_15_10_5,E02,-14.893,1,5.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E03,-10.904,6,30.0,False,False,False,True,2.0,10.0,-11.66042,5.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_10_5,E04,-10.088,7,35.0,False,False,False,True,2.0,10.0,-10.76801,5.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_10_5,E05,-14.407,8,40.0,False,True,False,True,6.0,30.0,-14.45521,5.0,"banda 0, ventana 15 min, tendencia EST"
C_bandas_15_10_5,E06,-13.324,18,90.0,False,True,False,True,6.0,30.0,-14.15,45.0,"banda 0, ventana 15 min, tendencia EST"
C_bandas_15_10_5,E07,-13.798,12,60.0,False,True,False,True,6.0,30.0,-14.16354,20.0,"banda 0, ventana 15 min, tendencia EST"
C_bandas_15_10_5,E08,-13.016,3,15.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E09,-9.095,4,20.0,True,False,False,True,2.0,10.0,-9.094908,0.0,"desviacion grave (>+5C), 5 min"
C_bandas_15_10_5,E10,-14.88,2,10.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E11,-14.542,5,25.0,False,True,False,False,,,,,observado sin alarma
C_bandas_15_10_5,E12,-14.876,2,10.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E13,-9.859,14,70.0,True,False,False,True,2.0,10.0,-9.858553,0.0,"desviacion grave (>+5C), 5 min"
C_bandas_15_10_5,E14,-14.758,3,15.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E15,-14.643,3,15.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E16,-14.51,4,20.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E17,-14.463,5,25.0,False,True,False,False,,,,,observado sin alarma
C_bandas_15_10_5,E18,-14.302,8,40.0,False,True,False,True,6.0,30.0,-14.30208,0.0,"banda 0, ventana 15 min, tendencia EST"
C_bandas_15_10_5,E19,-14.249,8,40.0,False,True,False,True,6.0,30.0,-14.24896,0.0,"banda 0, ventana 15 min, tendencia EST"
C_bandas_15_10_5,E20,-13.969,6,30.0,False,True,False,True,3.0,15.0,-13.96875,0.0,"banda 0, ventana 15 min, tendencia ASC"
C_bandas_15_10_5,E21,-7.688,9,45.0,True,False,False,True,1.0,5.0,-11.35938,-5.0,"desviacion grave (>+5C), 5 min"
C_bandas_15_10_5,E22,-13.593,6,30.0,False,True,False,True,3.0,15.0,-13.80515,5.0,"banda 0, ventana 15 min, tendencia ASC"
C_bandas_15_10_5,E23,-13.949,5,25.0,False,True,False,False,,,,,observado sin alarma
C_bandas_15_10_5,E24,-14.0,5,25.0,False,True,False,True,3.0,15.0,-14.0,0.0,"banda 0, ventana 15 min, tendencia ASC"
C_bandas_15_10_5,E25,-13.959,5,25.0,False,True,False,False,,,,,observado sin alarma
C_bandas_15_10_5,E26,-14.959,1,5.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E27,-14.805,3,15.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E28,-14.569,4,20.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E29,-14.397,6,30.0,False,True,False,False,,,,,observado sin alarma
C_bandas_15_10_5,E30,-6.529,21,105.0,True,False,False,True,6.0,30.0,-14.125,50.0,"banda 0, ventana 15 min, tendencia EST"
C_bandas_15_10_5,E31,-12.101,14,70.0,False,False,False,True,3.0,15.0,-13.81771,45.0,"banda 0, ventana 15 min, tendencia ASC"
C_bandas_15_10_5,E32,-13.782,6,30.0,False,True,False,True,3.0,15.0,-13.91354,5.0,"banda 0, ventana 15 min, tendencia ASC"
C_bandas_15_10_5,E33,-14.826,1,5.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E34,-14.828,1,5.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E35,-6.855,9,45.0,True,False,False,True,2.0,10.0,-12.77604,15.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_10_5,E36,-14.234,4,20.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E37,-12.377,4,20.0,False,False,False,True,2.0,10.0,-12.48854,-5.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_10_5,E38,-10.218,7,35.0,False,False,False,True,2.0,10.0,-11.05521,5.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_10_5,E39,-14.42,5,25.0,False,True,False,False,,,,,observado sin alarma
C_bandas_15_10_5,E40,-14.689,2,10.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E41,-14.785,1,5.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_10_5,E42,-4.698,10,50.0,True,False,False,True,2.0,10.0,-12.21146,15.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_10_5,E43,-8.097,7,35.0,True,False,False,True,2.0,10.0,-10.60208,10.0,"banda 1, ventana 10 min, tendencia ASC"
C_bandas_15_8_0,E01,-9.783,5,25.0,True,False,False,True,2.0,10.0,-9.783334,0.0,"desviacion grave (>+5C), 0 min"
C_bandas_15_8_0,E02,-14.893,1,5.0,False,True,True,False,,,,,observado sin alarma
C_bandas_15_8_0,E03,-10.904,6,30.0,False,False,False,True,2.0,10.0,-11.66042,5.0,"banda 1, ventana 8 min, tendencia ASC"
C_bandas_15_8_0,E04,-10.088,7,35.0,False,False,False,True,2.0,10.0,-10.76801,5.0,"banda 1, ventana 8 min, tendencia ASC"
