episodio,inicio_art,fin_periodo_art,n_periodos,duracion_fuera_rango_min,t_cruce_periodo_art,t_cruce_interp_art,avg_prev_c,avg_primer_periodo_c,secuencia_avg_c,pico_avg_c,pico_max_c,momento_pico_art,min_cruce_a_pico,dist_max_avg_c,dist_max_max_c,inicio_recuperacion_art,min_pico_a_normal,min_cruce_a_normal,v_heat_mean_c_min,v_heat_max_c_min,v_rec_mean_c_min,v_rec_max_c_min,pendiente_primeros_10min_c_min
E11,2026-08-23 08:33,2026-08-23 08:53,5,25.0,08:33,08:30:48,-15.052,-14.953,-14.95|-14.85|-14.75|-14.65|-14.54,-14.542,-14.438,08:53,20.0,0.458,0.562,08:53,5.0,25.0,0.02,0.022,,,0.02
E12,2026-08-23 10:13,2026-08-23 10:18,2,10.0,10:13,10:12:09,-15.114,-14.97,-14.97|-14.88,-14.876,-14.75,10:18,5.0,0.124,0.25,10:18,5.0,10.0,0.024,0.029,,,0.024
E13,2026-08-23 20:57,2026-08-23 22:02,14,70.0,20:57,20:54:40,-16.04,-13.215,-13.21|-10.56|-9.86|-11.29|-11.64|-11.72|-11.75|-11.75|-11.73|-11.69|-11.69|-11.66|-11.58|-12.71,-9.859,-8.375,21:07,10.0,5.141,6.625,21:07,60.0,70.0,0.412,0.565,-0.052,-0.286,0.412
E14,2026-08-24 01:02,2026-08-24 01:12,3,15.0,01:02,00:58:41,-15.021,-14.893,-14.89|-14.76|-14.81,-14.758,-14.438,01:07,5.0,0.242,0.562,01:07,10.0,15.0,0.026,0.027,-0.011,-0.011,0.014
E15,2026-08-24 02:52,2026-08-24 03:02,3,15.0,02:52,02:48:45,-15.023,-14.891,-14.89|-14.76|-14.64,-14.643,-14.562,03:02,10.0,0.357,0.438,03:02,5.0,15.0,0.025,0.026,,,0.025
E16,2026-08-24 04:42,2026-08-24 04:57,4,20.0,04:42,04:38:02,-15.003,-14.881,-14.88|-14.76|-14.64|-14.51,-14.51,-14.375,04:57,15.0,0.49,0.625,04:57,5.0,20.0,0.025,0.026,,,0.024
E17,2026-08-24 06:32,2026-08-24 06:52,5,25.0,06:32,06:29:07,-15.027,-14.914,-14.91|-14.80|-14.68|-14.57|-14.46,-14.463,-14.375,06:52,20.0,0.537,0.625,06:52,5.0,25.0,0.023,0.023,,,0.023
E18,2026-08-24 08:27,2026-08-24 09:02,8,40.0,08:27,08:25:29,-15.055,-14.946,-14.95|-14.84|-14.72|-14.62|-14.52|-14.40|-14.30|-14.30,-14.302,-14.062,08:57,30.0,0.698,0.938,08:57,10.0,40.0,0.022,0.024,-0.0,-0.0,0.022
E19,2026-08-24 10:27,2026-08-24 11:02,8,40.0,10:27,10:23:46,-15.019,-14.901,-14.90|-14.79|-14.67|-14.57|-14.46|-14.35|-14.25|-14.41,-14.249,-14.062,10:57,30.0,0.751,0.938,10:57,10.0,40.0,0.022,0.024,-0.033,-0.033,0.023
E20,2026-08-24 12:18,2026-08-24 12:43,6,30.0,12:18,12:13:38,-15.016,-14.893,-14.89|-14.76|-14.64|-13.97|-14.01|-14.80,-13.969,-13.875,12:33,15.0,1.031,1.125,12:33,15.0,30.0,0.052,0.134,-0.083,-0.159,0.025
E21,2026-08-24 13:18,2026-08-24 13:58,9,45.0,13:18,13:13:20,-15.528,-7.688,-7.69|-11.36|-12.44|-12.76|-12.81|-12.72|-12.56|-12.81|-14.92,-7.688,-3.812,13:18,0.0,7.312,11.188,13:18,45.0,45.0,1.568,1.568,-0.181,-0.734,0.206
E22,2026-08-24 14:58,2026-08-24 15:23,6,30.0,14:58,14:53:56,-15.064,-14.72,-14.72|-14.40|-14.10|-13.81|-13.59|-14.34,-13.593,-13.5,15:18,20.0,1.407,1.5,15:18,10.0,30.0,0.059,0.069,-0.149,-0.149,0.064
E23,2026-08-24 16:33,2026-08-24 16:53,5,25.0,16:33,16:29:08,-15.072,-14.744,-14.74|-14.44|-14.15|-13.95|-14.87,-13.949,-13.875,16:48,15.0,1.051,1.125,16:48,10.0,25.0,0.056,0.066,-0.184,-0.184,0.061
E24,2026-08-24 18:03,2026-08-24 18:23,5,25.0,18:03,17:59:48,-15.107,-14.798,-14.80|-14.51|-14.25|-14.00|-14.02,-14.0,-13.812,18:18,15.0,1.0,1.188,18:18,10.0,25.0,0.055,0.062,-0.004,-0.004,0.057
E25,2026-08-24 19:38,2026-08-24 19:58,5,25.0,19:38,19:33:14,-15.009,-14.716,-14.72|-14.44|-14.19|-13.96|-14.00,-13.959,-13.75,19:53,15.0,1.041,1.25,19:53,10.0,25.0,0.052,0.059,-0.009,-0.009,0.054
E26,2026-08-25 01:18,2026-08-25 01:18,1,5.0,01:18,01:16:53,-15.124,-14.959,-14.96,-14.959,-14.875,01:18,0.0,0.041,0.125,01:18,5.0,5.0,0.033,0.033,,,0.033
E27,2026-08-25 02:53,2026-08-25 03:03,3,15.0,02:53,02:52:06,-15.13,-14.966,-14.97|-14.81|-14.91,-14.805,-14.688,02:58,5.0,0.195,0.312,02:58,10.0,15.0,0.032,0.033,-0.021,-0.021,0.015
E28,2026-08-25 04:33,2026-08-25 04:48,4,20.0,04:33,04:31:17,-15.106,-14.936,-14.94|-14.79|-14.64|-14.57,-14.569,-14.5,04:48,15.0,0.431,0.5,04:48,5.0,20.0,0.027,0.034,,,0.031
E29,2026-08-25 06:18,2026-08-25 06:43,6,30.0,06:18,06:16:39,-15.119,-14.948,-14.95|-14.80|-14.66|-14.51|-14.40|-14.94,-14.397,-14.312,06:38,20.0,0.603,0.688,06:38,10.0,30.0,0.029,0.034,-0.108,-0.108,0.031
E30,2026-08-25 08:08,2026-08-25 09:48,21,105.0,08:08,08:05:00,-15.056,-14.9,-14.90|-14.76|-14.62|-14.49|-14.36|-14.24|-14.12|-14.23|-14.61|-14.56|-14.36|-13.98|-13.37|-12.24|-10.48|-8.57|-6.53|-6.84|-8.64|-11.17|-13.53,-6.529,-5.688,09:28,80.0,8.471,9.312,09:28,25.0,105.0,0.1,0.408,-0.35,-0.506,0.029
E31,2026-08-25 10:13,2026-08-25 11:18,14,70.0,10:13,10:12:21,-15.408,-14.915,-14.91|-14.49|-14.13|-13.82|-13.56|-13.33|-13.14|-12.95|-12.79|-12.63|-12.49|-12.36|-12.10|-14.02,-12.101,-11.5,11:13,60.0,2.899,3.5,11:13,10.0,70.0,0.051,0.099,-0.384,-0.384,0.085
E32,2026-08-25 12:18,2026-08-25 12:43,6,30.0,12:18,12:13:29,-15.016,-14.708,-14.71|-14.41|-14.15|-13.91|-13.78|-14.87,-13.782,-13.688,12:38,20.0,1.218,1.312,12:38,10.0,30.0,0.049,0.061,-0.218,-0.218,0.058
E33,2026-08-25 13:53,2026-08-25 13:53,1,5.0,13:53,13:48:39,-15.016,-14.826,-14.83,-14.826,-14.75,13:53,0.0,0.174,0.25,13:53,5.0,5.0,0.038,0.038,,,0.038
E34,2026-08-25 20:53,2026-08-25 20:53,1,5.0,20:53,20:52:20,-15.725,-14.828,-14.83,-14.828,-14.625,20:53,0.0,0.172,0.375,20:53,5.0,5.0,0.179,0.179,,,0.179
E35,2026-08-26 10:23,2026-08-26 11:03,9,45.0,10:23,10:18:26,-15.003,-14.547,-14.55|-13.89|-12.78|-10.90|-8.40|-6.86|-7.38|-9.80|-13.04,-6.855,-6.562,10:48,25.0,8.145,8.438,10:48,20.0,45.0,0.272,0.5,-0.412,-0.648,0.148
E36,2026-08-26 12:13,2026-08-26 12:28,4,20.0,12:13,12:10:07,-15.085,-14.834,-14.83|-14.61|-14.40|-14.23,-14.234,-14.188,12:28,15.0,0.766,0.812,12:28,5.0,20.0,0.043,0.05,,,0.046
E37,2026-08-26 13:33,2026-08-26 13:48,4,20.0,13:33,13:31:01,-16.385,-13.717,-13.72|-12.38|-12.49|-13.26,-12.377,-11.562,13:38,5.0,2.623,3.438,13:38,15.0,20.0,0.401,0.534,-0.088,-0.154,0.26
E38,2026-08-26 20:38,2026-08-26 21:08,7,35.0,20:38,20:34:23,-15.046,-14.79,-14.79|-14.54|-11.06|-10.22|-10.96|-11.31|-12.83,-10.218,-8.562,20:53,15.0,4.782,6.438,20:53,20.0,35.0,0.241,0.698,-0.174,-0.304,0.266
E39,2026-08-27 01:28,2026-08-27 01:48,5,25.0,01:28,01:28:24,-15.203,-14.994,-14.99|-14.80|-14.61|-14.42|-14.92,-14.42,-14.312,01:43,15.0,0.58,0.688,01:43,10.0,25.0,0.039,0.042,-0.101,-0.101,0.04
E40,2026-08-27 03:13,2026-08-27 03:18,2,10.0,03:13,03:11:36,-15.142,-14.908,-14.91|-14.69,-14.689,-14.562,03:18,5.0,0.311,0.438,03:18,5.0,10.0,0.045,0.047,,,0.045
E41,2026-08-27 04:53,2026-08-27 04:53,1,5.0,04:53,04:48:54,-15.015,-14.785,-14.79,-14.785,-14.688,04:53,0.0,0.215,0.312,04:53,5.0,5.0,0.046,0.046,,,0.046
E42,2026-08-27 19:58,2026-08-27 20:43,10,50.0,19:58,19:54:03,-15.048,-14.315,-14.31|-13.40|-12.21|-10.16|-7.24|-4.70|-5.17|-7.59|-11.30|-14.51,-4.698,-4.062,20:23,25.0,10.302,10.938,20:23,25.0,50.0,0.345,0.586,-0.491,-0.741,0.189
E43,2026-08-28 22:33,2026-08-28 23:03,7,35.0,22:33,22:32:38,-15.958,-14.648,-14.65|-12.76|-10.60|-8.79|-8.10|-10.67|-13.84,-8.097,-7.688,22:53,20.0,6.903,7.312,22:53,15.0,35.0,0.314,0.432,-0.574,-0.633,0.357
